date,tank,temperature (°C),notes
28/05/2023,15,25.5,
28/05/2023,16,19.3,
28/05/2023,17,24.1,
28/05/2023,18,25.6,
28/05/2023,19,25.4,
28/05/2023,20,19.6,
28/05/2023,21,24.5,
28/05/2023,22,18.9,
28/05/2023,23,18.9,
28/05/2023,24,18.7,
29/05/2023,1,26.6,
29/05/2023,2,24.7,
29/05/2023,3,26.7,
29/05/2023,4,26.1,
29/05/2023,5,24.9,
29/05/2023,6,25.1,
29/05/2023,7,24.6,
29/05/2023,8,25,
29/05/2023,9,27.4,
29/05/2023,10,27.1,
29/05/2023,11,24.8,
29/05/2023,12,27,
29/05/2023,13,25,
29/05/2023,14,25,
29/05/2023,15,25,
29/05/2023,16,27.6,
29/05/2023,17,25,
29/05/2023,18,26.6,
29/05/2023,19,27.7,
29/05/2023,20,24.8,
29/05/2023,21,27.8,
29/05/2023,22,24.2,
29/05/2023,23,24.6,
29/05/2023,24,24.5,
30/05/2023,1,27.6,
30/05/2023,2,24.4,
30/05/2023,3,25.9,
30/05/2023,4,25.1,
30/05/2023,5,24.4,
30/05/2023,6,24.6,
30/05/2023,7,24.3,
30/05/2023,8,24.7,
30/05/2023,9,26.5,
30/05/2023,10,26.1,
30/05/2023,11,24.6,
30/05/2023,12,26.2,
30/05/2023,13,24.3,
30/05/2023,14,24.1,
30/05/2023,15,26.6,
30/05/2023,16,24,
30/05/2023,17,25.7,
30/05/2023,18,26.8,
30/05/2023,19,26.7,
30/05/2023,20,24.8,
30/05/2023,21,26.9,
30/05/2023,22,23.2,
30/05/2023,23,27.3,
30/05/2023,24,23.9,
31/05/2023,1,26.3,
31/05/2023,2,23.8,
31/05/2023,3,26.5,
31/05/2023,4,24.9,
31/05/2023,5,23.7,
31/05/2023,6,24,
31/05/2023,7,24,
31/05/2023,8,24.2,
31/05/2023,9,27.3,
31/05/2023,10,27.3,
31/05/2023,11,24.1,
31/05/2023,12,27.9,
31/05/2023,13,24,
31/05/2023,14,23.6,
31/05/2023,15,27.7,
31/05/2023,16,24.1,
31/05/2023,17,26.6,
31/05/2023,18,27.6,
31/05/2023,19,26.7,
31/05/2023,20,23.6,
31/05/2023,21,25.7,
31/05/2023,22,23.7,
31/05/2023,23,27,
31/05/2023,24,23.5,
1/6/2023,1,28.6,
1/6/2023,2,26.5,
1/6/2023,3,28.7,
